ID,First Name,Last Name,Address,City,State,Zip,Phone Number,Date of Birth,Checking Account Number,Checking Balance,Savings Account Number,Savings Balance,Credit Account Number,Credit Balance,Credit Score,Credit Limit
1,Mickey,Mouse,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,6/12/58,1000001,115.58,2000001,319.88,3000001,960.85,619,4800
2,Donald,Duck,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,2/4/08,1000002,174.51,2000002,267.08,3000002,18.7,331,100
3,Minnie,Mouse,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,11/21/79,1000003,368.18,2000003,451.79,3000003,464.25,601,2900
4,Goofy,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,7/21/42,1000004,208.43,2000004,323.6,3000004,325.69,711,6500
5,Pluto,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,6/19/19,1000005,130.4,2000005,201.64,3000005,1098.15,811,18300
6,Chip,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,8/22/38,1000006,365.84,2000006,369.79,3000006,10.28,398,100
7,Dale,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,4/5/77,1000007,337.21,2000007,486.39,3000007,44.06,473,200
8,Cinderella,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,4/22/03,1000008,363.9,2000008,362.35,3000008,117.3,663,3900
9,Ariel,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,4/3/09,1000009,376.04,2000009,266.53,3000009,1330.23,810,19000
10,Jasmine,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,3/31/60,1000010,198.03,2000010,358.38,3000010,50.01,465,500
11,Aladdin,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,8/23/46,1000011,277.59,2000011,328.48,3000011,600.54,627,4000
12,Simba,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,6/22/91,1000012,95.96,2000012,330.07,3000012,57.87,471,300
13,Mufassa,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,8/21/69,1000013,430.68,2000013,279.85,3000013,504.92,720,7200
14,Aurora,Disney,1313 Disneyland Dr.,Anaheim,CA,92802,(714) 781-4636,10/23/35,1000014,411.26,2000014,203.15,3000014,525.99,621,3500
